cleanliness_score,odor_score,waste_level,complaints,footfall,hours_since_cleaning,hygiene_risk
6.1,4.7,274,5,584,8.5,2
5.9,5.9,349,4,106,9.1,2
3.5,6.2,543,9,446,3.1,0
10.0,1.0,86,1,424,4.6,1
3.0,7.2,348,7,133,9.1,0
6.8,5.0,154,3,496,3.3,2
4.8,5.0,382,5,674,19.5,0
5.2,6.8,169,7,874,6.3,0
2.5,8.5,491,5,334,10.2,0
5.6,2.5,534,5,60,14.8,2
5.8,5.4,53,5,926,26.6,0
6.2,4.9,178,4,439,9.6,2
5.5,5.5,178,4,130,1.7,2
7.2,3.2,210,4,827,2.1,2
8.3,3.5,298,1,586,1.0,1
6.8,3.4,272,3,411,2.8,1
5.0,6.3,385,8,447,6.7,0
6.5,6.6,136,6,454,1.8,2
3.1,8.3,502,6,296,4.2,0
7.4,2.6,250,4,431,4.5,1
2.6,9.0,547,8,612,0.8,0
4.5,7.3,493,7,367,3.6,0
5.8,7.2,284,5,48,5.0,2
7.6,1.3,133,1,205,14.4,1
7.5,3.9,60,3,244,1.0,1
5.5,4.0,400,5,566,9.4,2
8.3,4.1,0,4,564,0.5,2
4.7,6.5,465,7,761,3.5,0
5.6,3.7,473,4,404,12.7,2
9.1,3.5,15,3,400,3.1,1
6.4,7.4,414,5,527,0.5,2
7.3,1.8,262,6,834,8.8,2
7.7,1.8,205,4,522,17.2,2
2.8,8.2,524,7,597,7.3,0
9.8,1.0,55,3,396,3.0,1
5.0,6.1,312,5,528,12.7,0
8.0,1.0,178,5,748,2.4,1
6.4,2.1,19,3,873,2.3,1
5.0,5.3,392,9,200,0.9,0
5.7,3.0,289,4,764,1.6,2
8.7,1.4,80,4,332,5.3,1
4.9,6.8,501,5,428,6.3,0
6.0,5.8,330,4,137,4.4,2
4.4,4.8,393,4,582,8.4,2
7.8,3.3,13,2,496,4.0,1
5.5,5.6,480,3,432,0.8,2
7.4,1.7,68,7,492,1.0,2
8.0,4.1,8,2,629,1.3,1
6.4,2.1,232,2,805,2.1,1
7.5,2.8,310,6,469,9.2,2
5.4,6.9,504,6,588,11.0,0
6.3,5.7,238,3,754,5.8,2
6.1,6.4,160,7,640,9.7,2
2.8,7.9,493,9,591,0.5,0
4.7,6.6,450,10,308,4.1,0
4.6,5.1,237,2,444,1.7,2
6.6,5.9,452,4,781,2.2,2
8.3,2.9,144,0,185,3.8,1
5.4,3.9,479,9,656,6.9,0
10.0,1.0,67,3,197,13.0,1
4.0,5.2,403,5,203,25.2,0
9.8,2.0,0,4,444,2.5,1
3.8,6.4,383,6,649,5.0,0
7.6,4.6,88,4,489,3.9,1
5.9,3.7,393,4,449,2.1,2
4.8,5.0,350,6,374,9.6,2
3.3,7.2,497,9,571,9.7,0
6.1,4.5,386,4,400,0.5,2
6.1,4.3,372,3,241,6.4,2
6.8,5.6,189,4,359,7.4,2
8.1,1.0,215,1,514,4.0,1
4.9,5.6,494,6,359,24.2,0
7.1,5.8,252,2,543,0.5,2
7.2,3.5,295,4,574,2.3,2
3.8,6.7,537,6,205,1.4,0
9.4,1.0,78,3,391,4.3,1
5.8,6.1,513,12,735,6.4,0
4.1,7.0,362,6,263,36.0,0
4.5,6.7,376,4,523,4.0,0
6.5,3.4,285,4,649,5.4,2
5.4,6.0,215,6,712,10.7,0
8.7,2.0,106,0,535,2.8,1
10.0,3.2,115,0,302,13.4,1
6.4,5.6,254,6,60,5.3,2
6.9,1.6,127,3,757,0.5,1
2.8,7.0,485,6,196,2.9,0
3.6,9.1,381,4,532,18.4,0
10.0,3.4,212,4,773,0.8,1
8.8,4.3,137,1,413,2.3,1
5.1,6.7,274,3,357,15.4,2
6.7,6.3,225,5,583,28.7,0
3.4,6.6,0,5,482,3.5,0
4.0,8.0,460,6,553,3.6,0
4.4,5.7,313,5,628,2.5,2
10.0,1.0,3,0,966,4.6,1
10.0,1.0,86,1,415,13.3,1
3.8,6.4,448,7,360,5.1,0
5.5,5.7,399,3,443,8.6,2
5.4,4.7,199,4,535,0.7,2
9.4,2.2,0,1,254,1.3,1
8.8,1.0,62,0,447,1.9,1
3.9,8.2,489,8,580,10.4,0
8.4,1.0,183,0,531,16.2,1
4.8,7.5,162,6,328,21.9,0
9.7,2.9,113,3,612,10.2,1
5.7,6.5,390,5,484,3.5,2
6.9,3.6,174,5,176,3.3,2
7.1,2.9,86,4,813,2.1,1
9.3,2.6,85,4,577,3.0,1
9.7,2.9,44,4,770,1.1,1
5.9,5.8,467,3,547,10.3,2
6.9,4.4,378,3,701,2.7,2
7.5,2.4,324,3,647,17.2,2
7.4,2.5,93,3,700,4.5,1
8.5,3.7,215,4,236,4.2,1
5.1,5.8,262,9,413,8.7,0
6.8,3.7,384,3,635,6.1,2
5.1,4.7,478,4,667,25.9,0
5.2,5.4,305,3,299,14.0,2
8.8,4.6,73,2,398,19.8,1
5.9,7.3,392,5,333,1.2,2
5.8,4.0,288,6,534,2.9,2
7.8,4.7,127,2,274,5.0,1
6.9,5.6,340,4,243,1.9,2
6.0,5.8,352,5,558,0.5,2
5.2,6.0,481,7,295,10.2,0
9.7,1.0,0,1,298,4.1,1
6.7,2.4,286,4,334,4.3,1
5.1,6.6,303,7,597,5.4,0
7.9,4.9,118,4,565,1.4,1
8.9,1.5,11,3,493,8.6,1
4.6,5.0,439,4,514,3.3,2
5.8,5.3,332,3,353,14.5,2
4.9,8.1,321,5,670,1.6,0
8.4,2.2,201,4,41,0.7,1
6.0,4.2,284,6,383,3.1,2
5.2,7.3,287,5,539,25.0,0
5.7,6.1,395,7,360,6.8,0
4.0,8.6,487,6,127,10.1,0
4.3,7.8,425,11,225,1.6,0
5.5,7.7,190,3,416,5.6,2
3.1,8.4,518,5,93,9.6,0
5.8,4.3,222,3,491,4.5,2
6.1,4.2,155,1,476,5.2,1
6.7,3.6,242,6,744,6.1,2
8.6,2.5,45,6,571,21.9,2
8.2,2.2,62,2,558,0.6,1
8.0,3.7,220,2,390,9.2,1
6.7,4.2,257,5,552,7.0,2
7.9,4.4,191,3,327,17.7,2
6.5,5.2,120,4,560,4.0,2
5.7,3.1,261,5,873,0.5,2
6.4,3.4,342,2,497,0.8,1
4.8,3.9,322,3,474,8.9,2
5.4,2.6,407,4,463,16.3,2
7.9,3.1,346,5,191,15.1,2
7.0,2.7,128,7,569,3.1,2
9.1,2.6,0,0,102,5.9,1
5.7,6.3,146,2,546,4.4,2
7.4,3.0,487,8,709,3.4,0
8.1,1.3,94,0,473,7.8,1
9.9,1.0,0,0,453,5.7,1
5.5,8.8,399,8,452,18.4,0
8.6,1.8,352,5,739,4.5,1
10.0,1.0,3,0,129,2.6,1
7.5,4.1,490,6,451,3.4,2
9.1,3.9,174,1,519,4.9,1
7.4,2.7,103,5,177,11.4,1
2.6,8.4,530,9,198,1.3,0
5.9,6.2,522,4,215,0.7,2
8.0,4.6,125,3,135,6.2,1
6.0,3.7,139,2,264,7.4,1
6.5,6.9,155,3,564,1.3,2
7.5,2.7,353,1,813,1.1,1
7.5,4.1,274,7,597,0.5,2
5.1,7.1,120,6,477,36.0,0
5.6,5.4,226,6,581,6.6,2
6.9,4.7,231,5,410,3.9,2
5.3,5.3,300,4,401,10.8,2
10.0,1.0,132,1,772,1.7,1
7.4,3.8,133,2,646,7.0,1
6.2,6.9,267,7,216,5.7,2
4.5,7.9,513,7,393,9.7,0
6.0,5.5,108,2,377,1.4,1
6.4,6.2,236,3,293,4.1,2
7.1,5.4,89,4,526,2.9,2
5.9,5.8,386,4,324,11.1,2
3.7,7.6,507,11,522,2.6,0
5.9,4.0,148,6,846,2.4,2
8.4,4.9,74,5,348,3.2,1
5.1,6.0,110,3,307,1.1,2
4.7,7.1,344,7,589,4.8,0
7.5,3.4,68,2,58,7.9,1
4.8,5.7,312,5,465,19.1,0
8.3,2.7,0,5,444,19.5,2
6.2,3.0,326,4,520,5.3,2
4.9,7.9,266,5,148,3.1,2
9.1,3.6,0,1,336,8.3,1
5.8,6.1,300,4,590,23.1,0
9.3,1.1,122,1,303,8.7,1
7.8,2.7,109,2,327,1.2,1
3.8,7.3,249,4,454,6.8,0
4.6,6.2,440,6,376,17.5,0
8.7,1.0,161,1,20,4.4,1
4.3,6.6,504,4,516,9.6,0
8.5,3.6,142,3,943,0.5,1
3.7,8.5,477,8,20,4.1,0
6.3,3.9,125,2,314,1.5,1
6.2,3.9,301,2,431,8.4,2
5.8,4.6,380,7,413,12.4,0
6.4,5.1,165,4,296,15.4,2
7.0,4.5,439,4,248,12.7,2
6.9,1.7,247,6,878,5.5,2
7.2,1.0,215,3,246,2.9,2
6.0,5.8,212,5,391,14.6,2
8.1,4.5,116,4,436,7.8,1
2.9,7.6,535,10,498,0.5,0
7.9,3.9,89,7,945,24.5,0
5.4,3.7,271,3,528,2.5,2
7.0,2.5,210,3,676,13.7,2
4.3,7.6,425,5,551,20.5,0
5.5,5.7,466,4,20,3.1,2
8.1,4.9,229,2,736,18.7,2
5.7,5.6,278,5,453,1.1,2
7.2,4.5,169,5,451,20.4,2
4.9,5.9,366,9,336,0.5,0
8.4,1.8,133,3,735,3.3,1
5.7,5.4,476,5,472,35.9,0
4.7,7.4,400,4,440,5.2,0
7.7,3.7,408,3,270,19.3,2
5.7,4.6,329,6,398,1.2,2
3.2,6.3,437,5,308,3.6,0
6.4,3.4,334,3,522,7.0,2
4.7,5.7,547,9,106,4.2,0
6.0,5.9,370,6,507,11.5,0
8.0,4.1,152,4,415,1.6,1
5.5,5.5,447,6,579,11.5,0
6.2,4.5,138,9,442,8.7,0
5.7,6.7,423,7,520,5.0,0
7.1,2.8,134,3,650,13.8,2
4.6,8.5,526,7,20,2.9,0
6.0,6.1,276,4,142,2.1,2
3.5,9.8,529,11,1148,10.9,0
6.9,4.3,192,2,521,1.1,1
4.8,4.5,389,7,346,4.9,0
7.7,3.6,79,5,124,0.7,2
6.1,4.6,451,6,395,10.5,2
6.0,5.4,468,4,370,3.5,2
4.7,6.3,438,9,445,24.5,0
9.4,1.0,211,2,372,9.6,1
5.3,8.0,491,9,713,8.5,0
10.0,1.0,21,1,47,7.5,1
9.0,2.3,130,3,708,9.1,1
9.5,2.0,0,2,465,8.3,1
5.7,6.5,272,6,497,4.6,2
8.9,2.7,118,3,382,8.9,1
7.6,4.4,240,6,717,7.8,2
6.4,5.6,458,3,789,5.0,2
4.2,6.7,374,6,220,5.0,0
6.6,4.1,386,4,80,10.9,2
6.1,6.5,424,4,414,10.7,2
